#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
97577	Population/Community	N.KNUTHII V.HEILPRINENS.(5) FOGED	 	 	#/ml
97578	Population/Community	N.FLORIDANUM            (5) REIM.-1959	 	 	#/ml
97579	Population/Community	PINNULARIA              (4) (EHR.)P.&R.'66,59096793	 	 	#/ml
97580	Population/Community	P.BRAUNII               (5) (GRUN.)CL.-1895	 	 	#/ml
97581	Population/Community	P.BRAUNII V.AMPHICEPHAL.(5) (A.MAYER)HUST.-1930	 	 	#/ml
97582	Population/Community	P.SUBLINEARIS           (5) (GRUN.)CL.-1895	 	 	#/ml
97583	Population/Community	P.APPENDICULATA         (5) (AG.)CL.-1895	 	 	#/ml
97584	Population/Community	P.HILSEANA              (5) JAN.-1860	 	 	#/ml
97585	Population/Community	P.TERMITINA             (5) (EHR.)PATR.-1854	 	 	#/ml
97586	Population/Community	P.BURKII                (5) PATR.-1945	 	 	#/ml
97587	Population/Community	P.SUBCAPITATA           (5) GREG.-1856	 	 	#/ml
97588	Population/Community	P.SUBCAPITATA V.PAUCIS. (5) (GRUN.)CL.-1895	 	 	#/ml
97589	Population/Community	P.MICROSTAURON          (5) (EHR.)CL.-1891	 	 	#/ml
97590	Population/Community	P.MORMONORUM            (5) (GRUN.)&ATR.-1876	 	 	#/ml
97591	Population/Community	P.BICEPS                (5) GREG.-1856	 	 	#/ml
97592	Population/Community	P.BICEPS F.PETERSENII   (5) ROSS-1947	 	 	#/ml
97593	Population/Community	P.MESOLEPTA             (5) (EHR.)W.SM.-1853	 	 	#/ml
97594	Population/Community	P.MESOLEPTA V. ANGUSTA  (5) CL.-1895	 	 	#/ml
97595	Population/Community	P.NODOSA                (5) (EHR.)W.SM.-1856	 	 	#/ml
97596	Population/Community	P.DIVERGENS             (5) W.SM.-1853	 	 	#/ml
97597	Population/Community	P.DIVERGENS V.BACILLARIS(5) (M.PERAG.)MILLS-1934	 	 	#/ml
97598	Population/Community	P.DIVERGENS V.ELLIPTICA (5) (GRUN.)CL.-1895	 	 	#/ml
97599	Population/Community	P.DIVERGENS V.PARALLELA (5) (BRUN.)PATR.-1966	 	 	#/ml
97600	Population/Community	P.DIVERGENS V.UNDULATA  (5) (M.PERAG.+HERIB.)HUS-1930	 	 	#/ml
97601	Population/Community	P.SCHWEINFURTHII        (5) (A.S.)PATR.-1966	 	 	#/ml
97602	Population/Community	P.CAUDATA               (5) (BOYER)PATR.-1916	 	 	#/ml
97603	Population/Community	P.LEGUMEN               (5) (EHR.)EHR.-1843	 	 	#/ml
97604	Population/Community	P.MESOGONGYLA           (5) EHR.-1843	 	 	#/ml
97605	Population/Community	P.SILLIMANORUM          (5) EHR.-1843	 	 	#/ml
97606	Population/Community	P.STOMATOPHORA          (5) (GRUN.)CL.-1891	 	 	#/ml
97607	Population/Community	P.SUBSTOMATOPHORA       (5) HUST.-1934	 	 	#/ml
97608	Population/Community	P.BOGOTENSIS            (5) (GRUN.)CL.-1895	 	 	#/ml
97609	Population/Community	P.BOGOTENSIS V.UNDULATA (5) (M.PERAG.)BOYER-1927	 	 	#/ml
97610	Population/Community	P.SUDETICA              (5) HILSE-1860	 	 	#/ml
97611	Population/Community	P.ABAUJENSIS            (5) (PANT.)ROSS-1947	 	 	#/ml
97612	Population/Community	P.ABAUJENSIS V.LINEARIS (5) (HUST.)PATR.-1966	 	 	#/ml
97613	Population/Community	P.ABAUJENSIS V.ROSTRATA (5) (PATR.)PATR.-1966	 	 	#/ml
97614	Population/Community	P.ABAUJENSIS V.SUBUNDAL.(5) (A.MAYER EX HUST)PAT-1966	 	 	#/ml
97615	Population/Community	P.BREBISONII            (5) (KUTZ.)RABH.-1864	 	 	#/ml
97616	Population/Community	P.BREBISONII V.DIMINUTA (5) (GRUN.)CL.-1895	 	 	#/ml
97617	Population/Community	P.DIVERGENTISSIMA       (5) (GRUN.)CL.-1895	 	 	#/ml
97618	Population/Community	P.OBSCURA               (5) KRASSKE-1932	 	 	#/ml
97619	Population/Community	P.ALPINA                (5) W.SM.-1853	 	 	#/ml
97620	Population/Community	P.BOREALIS              (5) EHR.-1843	 	 	#/ml
97621	Population/Community	P.BOREALIS V.RECTANGUL. (5) CARLSON-1913	 	 	#/ml
97622	Population/Community	P.LATA                  (5) (BREB.)RABH.-1853	 	 	#/ml
97623	Population/Community	P.LATA V.PACHYPTERA     (5) (EHR.)MEIST.-1912	 	 	#/ml
97624	Population/Community	P.ACUMINATA             (5) W.SM.-1853	 	 	#/ml
97625	Population/Community	P.ACUMINATA V.BIELAWSKII(5) (HERIB.& PERAG)PATR.-1966	 	 	#/ml
97626	Population/Community	P.ACUMINATA V.INSTABILIS(5) (A.S.)PATR.-1876	 	 	#/ml
97627	Population/Community	P.ACUMINATA V.INTERRUPTA(5) (CL.)PATR.-1895	 	 	#/ml
97628	Population/Community	P.BREVICOSTATA          (5) CL.-1891	 	 	#/ml
97629	Population/Community	P.ACROSPHAERIA          (5) W.SM.-1853	 	 	#/ml
97630	Population/Community	P.ACROSPHAERIA V.TURGID.(5) GRUN.EX.CL.-1895	 	 	#/ml
97631	Population/Community	P.SINGULARIS            (5) (A.S.)CL.-1895	 	 	#/ml
97632	Population/Community	P.CUNIECEPHALA          (5) (MANN)PATR.-1966	 	 	#/ml
97633	Population/Community	P.PARVULA               (5) (RALFS)CL-EUL.-1922	 	 	#/ml
97634	Population/Community	P.BOYERI                (5) PATR.-1966	 	 	#/ml
97635	Population/Community	P.FORMICA               (5) (EHR.)PATR.-1966	 	 	#/ml
97636	Population/Community	P.CLEVEI                (5) PATR.-1945	 	 	#/ml
97637	Population/Community	P.MAIOR                 (5) (KUTZ.)RABH.-1853	 	 	#/ml
97638	Population/Community	P.MAIOR V.PULCHELLA     (5) BOYER-1916	 	 	#/ml
97639	Population/Community	P.MAIOR V.TRANSVERSA    (5) (A.S.)CL.-1891	 	 	#/ml
97640	Population/Community	P.RUPESTRIS             (5) HANTZ.-1861	 	 	#/ml
97641	Population/Community	P.CATEVITTATA           (5) CL.-1894	 	 	#/ml
97642	Population/Community	P.LATEVITTATA V.DOMING. (5) CL.-1894	 	 	#/ml
97643	Population/Community	P.CARDINALICULUS        (5) CL.-1895	 	 	#/ml
97644	Population/Community	P.DACTYLUS              (5) EHR.-1843	 	 	#/ml
97645	Population/Community	P.DACTYLUS V.DARIANA    (5) (A.S.)CL.-1895	 	 	#/ml
97646	Population/Community	P.SOCIALIS              (5) (T.C.PALM.)HUST.-1913	 	 	#/ml
97647	Population/Community	P.TORTA                 (5) (MANN)PATR.-1966	 	 	#/ml
97648	Population/Community	P.BIHASTATA             (5) (MANN)PATR.-1924	 	 	#/ml
97649	Population/Community	P.AESTUARII             (5) CL.-1895	 	 	#/ml
97650	Population/Community	P.CARDINALIS            (5) (EHR.)W.SM.-1853	 	 	#/ml
97651	Population/Community	P.FLEXUOSA              (5) CL.-1895	 	 	#/ml
97652	Population/Community	P.GENTILIS              (5) (DONK.)CL.-1895	 	 	#/ml
97653	Population/Community	P.NOBILIS               (5) (EHR.)EHR.-1843	 	 	#/ml
97654	Population/Community	P.RUTTNERI              (5) HUST.-1935	 	 	#/ml
97655	Population/Community	P.STREPTORAPHE          (5) CL.-1891	 	 	#/ml
97656	Population/Community	P.VIRIDIS               (5) (NITZ.)EHR.-1843	 	 	#/ml
97657	Population/Community	P.VIRIDIS V.COMMUTATA   (5) (GRUN.)CL.-1895	 	 	#/ml
97658	Population/Community	P.VIRIDIS V.MINOR       (5) CL.-1891	 	 	#/ml
97659	Population/Community	P.AMBLYS                (5) HOHN & HELLERM.-1963	 	 	#/ml
97660	Population/Community	P.CONVEXA               (5) SOV.-1963	 	 	#/ml
97661	Population/Community	P.CUMVIBIA              (5) HOHN & HELLERM.-1963	 	 	#/ml
97662	Population/Community	P.GIBBA                 (5)	 	 	#/ml
97663	Population/Community	P.GIBBA F.CURTA         (5) RABH.	 	 	#/ml
97664	Population/Community	P.INSTITA               (5) HOHN & HELLERM.-1963	 	 	#/ml
97665	Population/Community	P.INTERRUPTA            (5)	 	 	#/ml
97666	Population/Community	P.INTERRUPTA V.SINICA   (5) SKV.	 	 	#/ml
97667	Population/Community	P.LUNDII                (5) HUST	 	 	#/ml
97668	Population/Community	P.MAKAHANA              (5) SOV.	 	 	#/ml
97669	Population/Community	P.NUBILA                (5) SOV.	 	 	#/ml
97670	Population/Community	P.OBTUSA                (5) SOV.	 	 	#/ml
97671	Population/Community	P.PALOUSIANA            (5) SOV.	 	 	#/ml
97672	Population/Community	P.PLATYCEPHALA          (5)	 	 	#/ml
97673	Population/Community	P.PLATYCEPHALA F.ORNATA (5) SOV.	 	 	#/ml
97674	Population/Community	P.PUVIANA               (5) SOV.	 	 	#/ml
97675	Population/Community	P.RIVULARIS             (5) HUST.	 	 	#/ml
97676	Population/Community	P.STOMATOPHORA          (5) GRUN.	 	 	#/ml
97677	Population/Community	P.STRICTA               (5) HUST.	 	 	#/ml
97678	Population/Community	P.SUBPALOUISIANA        (5) SOV.	 	 	#/ml
97679	Population/Community	P.UMBROSA               (5) SOV.	 	 	#/ml
97680	Population/Community	P.UNDULATA              (5)	 	 	#/ml
97681	Population/Community	P.UNDULATA V.SUBUNDULATA(5) GRUN.	 	 	#/ml
97682	Population/Community	P.STAUROPTERA           (5) -GRUN.	 	 	#/ml
97683	Population/Community	P.STAUROPTERA V.MINUTA  (5) -MAYER	 	 	#/ml
97684	Population/Community	SCOLIOPLEURA            (4) (GRUN.)P.&R.'66,64396794	 	 	#/ml
97685	Population/Community	S.PEISONIS              (5) GRUN.-1860	 	 	#/ml
97686	Population/Community	STAURONEIS              (4) (EHR.)P.&R.'66,35796795	 	 	#/ml
97687	Population/Community	S.PHOENICENTERON        (5) (NITZ.)EHR.-1843	 	 	#/ml
97688	Population/Community	S.PHOENICENTERON F.GRACI(5) (EHR.)HUST.-1930	 	 	#/ml
97689	Population/Community	S.PHOENICENTERON V.BRUNI(5) (PERAG.)&HERIB VOIGT-1943	 	 	#/ml
97690	Population/Community	S.FLUMINEA              (5) PATR.&FREESE-1961	 	 	#/ml
97691	Population/Community	S.ANCEPS                (5) EHR.-1843	 	 	#/ml
97692	Population/Community	S.ANCEPS F.GRACILIS     (5) RABH.-1864	 	 	#/ml
97693	Population/Community	S.ANCEPS F.LINEARIS     (5) (EHR.)HUST.-1930	 	 	#/ml
97694	Population/Community	S.AMERICANA             (5) REIM.-1961	 	 	#/ml
97695	Population/Community	S.KRIEGERI              (5) PATR.-1945	 	 	#/ml
97696	Population/Community	S.NANA                  (5) HUST.-1957	 	 	#/ml
97697	Population/Community	S.AMPHIOXYS             (5) GREG.-1856	 	 	#/ml
97698	Population/Community	S.OBTUSA                (5) LAGERST.-1873	 	 	#/ml
97699	Population/Community	S.LIVINGSTONII          (5) REIM.-1961	 	 	#/ml
97700	Population/Community	S.SCHINZII              (5) (BRUN)CL.-1894	 	 	#/ml
97701	Population/Community	S.SMITHII               (5) GRUN.-1860	 	 	#/ml
97702	Population/Community	S.SMITHII V.INCISA      (5) PANT.-1902	 	 	#/ml
97703	Population/Community	S.IGNORATA              (5) HUST.-1939	 	 	#/ml
97704	Population/Community	S.IGNORATA V.RUPESTRIS  (5) (SKV.)REIM.-1961	 	 	#/ml
97705	Population/Community	S.ACUTA                 (5) W.SM.-1853	 	 	#/ml
97706	Population/Community	S.ACUTA V.TERRYANA      (5) TEMP.EXCL.-1894	 	 	#/ml
97707	Population/Community	S.STODDERI              (5) LEWIS-1865	 	 	#/ml
97708	Population/Community	S.STAUROLINEATA         (5) REIM.-1961	 	 	#/ml
97709	Population/Community	S.FRICKII               (5)	 	 	#/ml
97710	Population/Community	S.FRICKII V.ANGUSTA     (5) BOYER-1916	 	 	#/ml
97711	Population/Community	S.NOBILIS               (5) SCHUM.-1867	 	 	#/ml
97712	Population/Community	S.NOBILIS V.BACONIANA   (5) (STODD.)REIM.-1961	 	 	#/ml
97713	Population/Community	S.NORVEGICA             (5) HUST.	 	 	#/ml
97714	Population/Community	S.TENERA                (5) HUST.	 	 	#/ml
97715	Population/Community	S.TRIUNDULATUM          (5) BORGE	 	 	#/ml
97716	Population/Community	PLEUROSIGMA             (4) (W.SM.)P.&R.'66,33096796	 	 	#/ml
97717	Population/Community	P.ANGULATUM             (5) (QUEK.)W.SM.-1852	 	 	#/ml
97718	Population/Community	P.ANGULATUM V.AESTUARII (5) (BREB.)V.H.-1880	 	 	#/ml
97719	Population/Community	P.SALINARUM             (5) GRUN.-1880	 	 	#/ml
97720	Population/Community	P.SALINARUM V.BOYERI    (5) (KEELEY)REIM.-1966	 	 	#/ml
97721	Population/Community	P.ELONGATUM             (5) W.SM.-1852	 	 	#/ml
97722	Population/Community	P.STRIGOSUM             (5) W.SM.-1852	 	 	#/ml
97723	Population/Community	P.AUSTRALE              (5) GRUN.-1868	 	 	#/ml
97724	Population/Community	P.DELICATULUM           (5) W.SM.-1852	 	 	#/ml
97725	Population/Community	P.NORMANI               (5) LACKEY-1963	 	 	#/ml
97726	Population/Community	CAPARTOGRAMMA           (4) (KUFF.)P.PR.'66,37296798	 	 	#/ml
97727	Population/Community	C.CRUCICULA             (5) (GRUN.EX CL.)ROSS-1963	 	 	#/ml
97728	Population/Community	C.CRUCICULA             (5) ((GRUN.EX.CL.)ROSS)P.&R.'66,37296799	 	 	#/ml
97729	Population/Community	DIATOMELLA              (4) (GREV.)P.&R.'66,29696749	 	 	#/ml
97730	Population/Community	D.BALFOURIANA           (5) GREG.-1855	 	 	#/ml
97731	Population/Community	ENTOMONEIDACEAE         (3) P.&R.'75,  1	 	 	#/ml
97732	Population/Community	ENTOMONEIS              (4) (EHR.)P.&R.'75,  196783	 	 	#/ml
97733	Population/Community	E.ALATA                 (5) (EHR.)EHR.-1845	 	 	#/ml
97734	Population/Community	E.ORNATA                (5) (J.W.BAIL.)REIM.-1975	 	 	#/ml
97735	Population/Community	E.PALUDOSA              (5) (W.SM.)REIM.-1975	 	 	#/ml
97736	Population/Community	E.PULCHRA               (5) (J.W.BAIL.)REIM.-1975	 	 	#/ml
97737	Population/Community	E.ROBUSTA               (5) (MCCALL)REIM.-1975	 	 	#/ml
97738	Population/Community	PLAGIOTROPIS            (4) (PFITZ.)P.&R.'75,  796797	 	 	#/ml
97739	Population/Community	P.LEPIDOPTERA           (5) (CL.)REIM.-1975	 	 	#/ml
97740	Population/Community	P.LEPIDOPTERA           (5) (CL.)REIM.-1975	 	 	#/ml
97741	Population/Community	GOMPHONEMACEAE          (3) (KUTZ.)P.&R.'75,10796800	 	 	#/ml
97742	Population/Community	GOMPHONEIS              (4) (CL.)P.&R.'75,14796801	 	 	#/ml
97743	Population/Community	G.ELEGANS               (5) (GRUN.)CL.-1894	 	 	#/ml
97744	Population/Community	G.MAMMILLA              (5) (EHR.)CL.-1894	 	 	#/ml
97745	Population/Community	G.ERIENSE               (5) (GRUN.)SKV.& MEYER-1928	 	 	#/ml
97746	Population/Community	G.HERCULEANA            (5) (EHR.)CL.-1894	 	 	#/ml
97747	Population/Community	G.HERCULEANA V.CLAVATA  (5) CL.-1894	 	 	#/ml
97748	Population/Community	G.HERCULEANA V.ROBUSTA  (5) (GRUN.)CL.-1894	 	 	#/ml
97749	Population/Community	G.HERCULEANA V.ROSTRATA (5) TEMP. & PERAG-1910	 	 	#/ml
97750	Population/Community	G.HERCULEANA V.SEPTICEPS(5) M.SCHMIDT-1899	 	 	#/ml
97751	Population/Community	GOMPHONEMA              (4) (EHR.)P.&R.'75,10796802	 	 	#/ml
97752	Population/Community	G.APICATUM              (5) EHR.-1854	 	 	#/ml
97753	Population/Community	G.AUGUR                 (5) EHR.-1854	 	 	#/ml
97754	Population/Community	G.ACUMINATUM            (5) EHR.-1838	 	 	#/ml
97755	Population/Community	G.ACUMINATUM V.CLAVUS   (5) (BREB.)GRUN.-1880	 	 	#/ml
97756	Population/Community	G.ACUMINATUM V.ELONGATUM(5) (W.SM.)CARR-1864	 	 	#/ml
97757	Population/Community	G.ACUMINATUM V.PUSILLA  (5) GRUN.-1880	 	 	#/ml
97758	Population/Community	G.TURRIS                (5) EHR.-1854	 	 	#/ml
97759	Population/Community	G.CAROLINENSE           (5) HAGELST.-1939	 	 	#/ml
97760	Population/Community	G.SPHAEROPHORUM         (5) EHR.-1845	 	 	#/ml
97761	Population/Community	G.BREBISSONII           (5) (KUTZ.)-1849	 	 	#/ml
97762	Population/Community	G.LONGICEPS             (5) EHR.-1854	 	 	#/ml
97763	Population/Community	G.LONGICEPS F.SUECIA    (5) GRUN.	 	 	#/ml
97764	Population/Community	G.SUBTILE               (5) EHR.-1843	 	 	#/ml
97765	Population/Community	G.SUBTILE V.SAGITTA     (5) (SCHUM.)CL.-1894	 	 	#/ml
97766	Population/Community	G.TRUNCATUM             (5) EHR.-1832	 	 	#/ml
97767	Population/Community	G.TRUNCATUM V.CAPITATUM (5) (EHR.)PATR.-1975	 	 	#/ml
97768	Population/Community	G.TRUNCATUM V.TURGIDUM  (5) (EHR.)PATR.-1975	 	 	#/ml
97769	Population/Community	G.TRUNCATUM V.ELONGATA  (5) (PERAG.& HERIB.)PATR-1975	 	 	#/ml
97770	Population/Community	G.HEDINII               (5) HUST.-1922	 	 	#/ml
97771	Population/Community	G.MONTANUM              (5) SCHUM-1867	 	 	#/ml
97772	Population/Community	G.MONTANUM V.ACUMINATUM (5) (PERAG.& HERIB.)MAY.	 	 	#/ml
97773	Population/Community	G.PARVULUM              (5) (KUTZ.)-1849	 	 	#/ml
97774	Population/Community	G.TENELLUM              (5) KUTZ.-1844	 	 	#/ml
97775	Population/Community	G.CUMRHIS               (5) HOHN & HELLERM.-1963	 	 	#/ml
97776	Population/Community	G.ANGUSTATUM            (5) (KUTZ.)RABH.-1864	 	 	#/ml
97777	Population/Community	G.ANGUSTATUM V.CITERA   (5) (HOHN & HELLERM.)PAT-1963	 	 	#/ml
97778	Population/Community	G.ANGUSTATUM V.INTERMED.(5) GRUN.-1880	 	 	#/ml
97779	Population/Community	G.ANGUSTATUM V.OBTUSATUM(5) (KUTZ.)GRUN.-1880	 	 	#/ml
97780	Population/Community	G.ANGUSTATUM V.PRODUCTUM(5) GRUN.-1880	 	 	#/ml
97781	Population/Community	G.ANGUSTATUM V.SACROPHA.(5) (GREG.)GRUN.-1880	 	 	#/ml
97782	Population/Community	G.ANGUSTATUM V.UNDULATA (5) (GREG.)GRUN.	 	 	#/ml
97783	Population/Community	G.CONSECTOR             (5) HOHN & HELLERM.-1963	 	 	#/ml
97784	Population/Community	G.SUBCLAVATUM           (5) (GRUN.)GRUN.-1880	 	 	#/ml
97785	Population/Community	G.SUBCLAVATUM V.COMMUTA.(5) (GRUN.)A.MAYER-1928	 	 	#/ml
97786	Population/Community	G.SUBCLAVATUM V.MEXICAN.(5) (GRUN.)PATR.-1961	 	 	#/ml
97787	Population/Community	G.GRUNOWII              (5) PATR.-1975	 	 	#/ml
97788	Population/Community	G.GRACILE               (5) EHR. EMEND V.H.-1885	 	 	#/ml
97789	Population/Community	G.AFFINE                (5) KUTZ.-1844	 	 	#/ml
97790	Population/Community	G.AFFINE V.INSIGNE      (5) (GREG.)ANDREWS-1970	 	 	#/ml
97791	Population/Community	G.INTRICATUM            (5) KUTZ.-1844	 	 	#/ml
97792	Population/Community	G.INTRICATUM V.VIBRIO   (5) (EHR.)CL.-1894	 	 	#/ml
97793	Population/Community	G.DICHOTOMUM            (5) KUTZ.-1833	 	 	#/ml
97794	Population/Community	G.TERGESTINUM           (5) (GRUN.)FICKE-1902	 	 	#/ml
97795	Population/Community	G.SEPTUM                (5) MOGH.-1969	 	 	#/ml
97796	Population/Community	G.VENTRICOSUM           (5) GREG.-1856	 	 	#/ml
97797	Population/Community	G.SEMIAPERTUM           (5) GRUN.-1880	 	 	#/ml
97798	Population/Community	G.MANUBRIUM             (5) FRICKE-1904	 	 	#/ml
97799	Population/Community	G.CLEVEI                (5) FRICKE-1902	 	 	#/ml
97800	Population/Community	G.GIBBA                 (5) J.WALLACE-1960	 	 	#/ml
97801	Population/Community	G.OLIVACEUM             (5) (LYNGB.)KUTZ.-1844	 	 	#/ml
97802	Population/Community	G.OLIVACEUM V.CALCAREA  (5) (CL.)CL.-1894	 	 	#/ml
97803	Population/Community	G.NOVACULA              (5) HOHN & HELLERM.-1963	 	 	#/ml
97804	Population/Community	G.SIMUS                 (5) HOHN & HELLERM.-1963	 	 	#/ml
97805	Population/Community	G.GROVEI                (5) M.SCHMIDT-1899	 	 	#/ml
97806	Population/Community	G.APUNCTO               (5) J.WALLACE-1960	 	 	#/ml
97807	Population/Community	G.ABBREVIATUM           (5) AG.-1831	 	 	#/ml
97808	Population/Community	G.BRASILIENSE           (5) GRUN.-1878	 	 	#/ml
97809	Population/Community	G.BRASILIENSE V.DEMAR.  (5) -P&R 1975	 	 	#/ml
97810	Population/Community	G.OLIVACEOIDES          (5) HUST.-1950	 	 	#/ml
97811	Population/Community	G.OLIVACEOIDES V.DENSES.(5) FOGED-1963	 	 	#/ml
97812	Population/Community	G.OLIVACEOIDES V.HUTCH. (5) PATR.	 	 	#/ml
97813	Population/Community	G.INSTABLIS             (5) HOHN. & HELLERM.-1963	 	 	#/ml
97814	Population/Community	G.QUADRIPUNCTATUM       (5) (OSTR.)WISL.-1924	 	 	#/ml
97815	Population/Community	G.DIRACEUM              (5)	 	 	#/ml
97816	Population/Community	G.DIRACEUM V.CALCAREA   (5) OLIVE-1971	 	 	#/ml
97817	Population/Community	G.EXIGUUM               (5) NOLES-1971	 	 	#/ml
97818	Population/Community	G.HELVETICUM            (5) BRUN.	 	 	#/ml
97819	Population/Community	G.VALIDUM               (5)	 	 	#/ml
97820	Population/Community	G.VALIDUM V.ELONGATUM   (5) CL.	 	 	#/ml
97821	Population/Community	DIDYMOSPHENIA           (4) (M.SCHMIDT)P.&R.'75,14696803	 	 	#/ml
97822	Population/Community	D.GEMINATA              (5) (LYNGB.)M.SCHMIDT-1899	 	 	#/ml
97823	Population/Community	CYMBELLACEAE            (3) (KUTZ.)P.&R.'75, 1596804	 	 	#/ml
97824	Population/Community	AMPHORA                 (4) (EHR. EX. KUTZ..)P.&R.'75, 6596805	 	 	#/ml
97825	Population/Community	A.OVALIS                (5) (KUTZ.)KUTZ.-1844	 	 	#/ml
97826	Population/Community	A.OVALIS V.AFFINIS      (5) (KUTZ.)V.H. EX DET.-1891	 	 	#/ml
97827	Population/Community	A.OVALIS V.PEDICULUS    (5) (KUTZ.)V.H. EX DET.-1891	 	 	#/ml
97828	Population/Community	A.OVALIS V.CONSTRICTA   (5) SKV.	 	 	#/ml
97829	Population/Community	A.PERPUSILLA            (5) (GRUN.)GRUN.-1884	 	 	#/ml
97830	Population/Community	A.CALUMETICA            (5) (THOMASEXWOLLE)PERAG-1897	 	 	#/ml
97831	Population/Community	A.VENETA                (5) KUTZ.-1844	 	 	#/ml
97832	Population/Community	A.NORMANII              (5) RABH.-1864	 	 	#/ml
97833	Population/Community	A.BULLATOIDES           (5) HOHN & HELLERM.-1963	 	 	#/ml
97834	Population/Community	A.BIRUGULA              (5) HOHN-1961	 	 	#/ml
97835	Population/Community	A.SUBMONTANA            (5) HUST.-1949	 	 	#/ml
97836	Population/Community	A.ACUTIUSCULA           (5) KUTZ.-1844	 	 	#/ml
97837	Population/Community	A.COEFFEIFORMIS         (5) (AG.)KUTZ.-1844	 	 	#/ml
97838	Population/Community	A.SABINIANA             (5) REIM. SP. NOV.-1975	 	 	#/ml
97839	Population/Community	A.CRUCIFEROIDES         (5) STOERM. & YANG-1972	 	 	#/ml
97840	Population/Community	A.FONTICOLA             (5) MAILL.	 	 	#/ml
97841	Population/Community	A.HEMICYLA              (5) STOERM. & YANG-1972	 	 	#/ml
97842	Population/Community	A.HURONENSIS            (5) STOERM. & YANG-1972	 	 	#/ml
97843	Population/Community	A.MICHIGANENSIS         (5) STOERM. & YANG-1972	 	 	#/ml
